team_name,long_name
IF Brommapojkarna,Christer Mattiasson
San Luis de Quillota,Francisco Andrés Bozán Santibáñez
Itagüí Leones FC,Álvaro Hernández Uribe
Dalkurd FF,Amir Azrafshan
Limerick FC,Tommy Barrett
Bray Wanderers,Pat Devlin
Avellino,Roberto Taurino
Cesena,Domenico Toscano
Zenit St. Petersburg,Sergei Semak
FC Krasnodar,Aleksandr Storozhuk
Ankaraspor,Adem Caglayan
Saudi Arabia,Hervé Renard
Dinamo Moscow,Slaviša Jokanović
Terek Grozny,Andrey Talalaev
Torpedo Moscow,Andrey Talalaev
Rubin Kazan,Leonid Slutskiy
Arsenal Tula,Oleg Kononov
FC Ufa,Denis Popov
Ponte Preta,Hélio César Pinto dos Anjos
Cultural Leonesa,Eduardo Docampo
FC Anzhi Makhachkala,Artur Sadirov
FC Barcelona B,Sergi Barjuán i Esclusa
Amkar Perm,Rustem Khuzin
FC Ural Yekaterinburg,Viktor Goncharenko
FC Tosno,Dmytro Parfenov
Roda JC Kerkrade,Jurgen Streppel
Lorca FC,José Garijo Nicolás
SKA Khabarovsk,Roman Sharonov
Tours FC,Norredine El Ouardini
Sevilla Atlético,Juan Alejandro Acejo Rodriguez
Novara Calcio,Roberto Cevoli
Football Bourg En Bresse Peronnas 01,Alain Pochat
Kardemir Karabükspor,Nizamettin Set
FC Pro Vercelli 1892,Massimo Paci
Club Olimpo,Carlos Mayor
Santiago Wanderers,Miguel Andrés Ponce Torres
Club Atlético Temperley,José María Bianco
Partick Thistle FC,Ian McCall
Sandecja Nowy Sącz,Dariusz Dudek
FC Rot-Weiß Erfurt,Goran Miscevic
Chacarita Juniors,Marcelo Venturelli
Chesterfield,Paul Cook
SV Werder Bremen II,Konrad Fünfstück
Omiya Ardija,Naoki Soma
Cortuluá,Jaime de la Pava Márquez
Barnet,Dean Brennan
Jönköpings Södra IF,Oscar Garcia Rodriguez
Tigres FC,Óscar Mario Morera Gómez
Ventforet Kofu,Tatsuma Yoshida
Albirex Niigata,Rikizo Matsuhashi
Sogndal Fotball,Tore Andre Flo
FC Helsingør,Morten Eskesen
Galway United,John Caulfield
Gaziantepspor,Kenan Askan
Figueirense,Dilceu Junior Rocha
Santa Cruz,Marcelo Martelotte
Krylya Sovetov Samara,Igor Osinkin
Adanaspor,Önder Karaveli
Criciúma,Cláudio Tencati
FC Orenburg,Marcel Liczka
Vicenza,Francesco Baldini
Catania,Francesco Baldini
UCAM Murcia CF,Jorge Romero Sáez
Atlético de Rafaela,Ezequiel Luis Medrán
Quilmes Atlético Club,Walter Gastón Coyette
Inverness Caledonian Thistle,William Billy Dodds
Latina,Daniele Di Donato
Ruch Chorzów,Jarosław Skrobacz
FC Tom Tomsk,Sergey Zhukov
Gefle IF,Mikael Bengtsson
Fortaleza CEIF,Nelson Alfonso Flórez Jiménez
Wexford Youths,Ian Ryan
Associação Académica de Coimbra,Luís Miguel Floro Valença
Kuban Krasnodar,Evgeniy Kaleshin
Athletic Club de Bilbao B,Bingen Arostegui Guibelondo
União da Madeira,Duarte Nuno Figueira Correia
Eskişehirspor,Necdet Emre Özbayer
Mersin İdman Yurdu,Nasır Belci
FSV Frankfurt,Tim Görner
UE Llagostera,Josep Oriol Alsina García
FC Mordovia Saransk,Oleg Vasilenko
Dorados de Sinaloa,José Rafael García Torres
Deportivo San Marcos de Arica,Hernán Peña
US Créteil-Lusitanos,Stéphane Masala
Najran SC,Mohammed Al-Ayari
Nueva Chicago,Maximiliano Rama
SV Grödig,Thomas Schnöll
Hajer,Jamel Belhedi
Crucero del Norte,Pedro Atalicio Dechat
Dagenham and Redbridge,Daryl McMahon
Daejeon Citizen,Min-Sung Lee
York City,John Askey
Åtvidabergs FF,Jan Stahre
Korea Republic,Paulo Jorge Gomes Bento
Kayseri Erciyesspor,Ertuğrul Seçme
FC Penafiel,Filipe André Paula da Rocha
RC Recreativo de Huelva,Abel Gómez Moreno
Leones Negros de la UdeG,Luis Alfonso Sosa Cisneros
Lierse SK,David Colpaert
CD Cobreloa,Emiliano Astorga
Balıkesirspor,Uğur Balcıoğlu
FC Dordrecht,Michele Santoni
Varese,Salvatore Iacolino
Zawisza Bydgoszcz,Krzysztof  Pawlak
FC Aarau,Stephan Keller
GKS Bełchatów,Kamil Socha
SC Magna Wiener Neustadt,Sargon Duran
AC Barnechea,John Sebastián Armijo
Al Shoulla,Juan José Maqueda
Al Orobah,Bairm Mukhtari
Sandnes Ulf,Bjarne Berntsen
Athlone Town,Dermot Lennon
